country	code	ln_hla_het	hla_het	ln_mort40	ln_le40	ln_le50	ln_le60	ln_le70	ln_le80	ln_le90	ln_le00	ln_le10	europe	asia	africa	americas	oceania	frac_eur	frac_me	frac_easia	frac_africa	frac_am	frac_oc	aa_ln_atd	aa_atd	aa_mdist	aa_mdist_sqr	aa_lanim	aa_lpd1	ln_frac	ln_arable	ln_suitavg	ln_abslat	aa_pdiv	malfal	tropical	desert	distcr1000	frac_migrant	pnativ_60	ln_ypc60	ln_yr_sch1960	ln_pd60	ln_urb60	ln_young	ln_mix_het	oecd	fstdistwtd_usa
"Afghanistan"	"AFG"	-1.1116264	0.32902342			3.4531572	3.43805	3.556946	3.6687818	3.745481	3.8131492	3.8770628	0	1	0	0	0	0.04362281	0.91275436	0.04362281	0.0	0.0	0.0	9.072699	8750.0	6.0025506	36.081318		0.8684827	0.5706092	2.4956818	-1.8325815	3.4965076	0.7289717	0.0592746	0	4.355736143291409	0.942351	0.13	0.87	6.99026	-1.0358487	2.712741	2.0794415	3.7694476	-1.0921965	0	5.6846004
"Albania"	"ALB"	-1.1299044	0.32306415			4.010963	4.13123	4.204535	4.243828	4.2717295	4.307286	4.3425183	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	8.9249115	7518.0	4.4663997	19.9496		1.9972702	0.19919997	3.048799	-0.2613648	3.713572	0.74057233	0.0	0	0	0.077544294	0.037	0.963	7.70931	1.7032259	4.0815563	3.4242628	3.7159731	-1.1243899	0	4.5774193
"Algeria"	"DZA"	-1.1019324	0.33222845	-1.1631508	3.6627922	3.7635229	3.84984	3.968744	4.0877175	4.2057633	4.2488403	4.2884374	0	0	1	0	0	0.0	1.0	0.0	0.0	0.0	0.0	8.294049	4000.0	4.806958	23.10685		-0.1746841	0.29222175	1.1693814	-3.218876	3.3322046	0.7380005	0.0	0	23.277136053771727	0.76593	0.0	1.0	8.24249	-0.13871193	1.5217843	3.4177268	3.7787035	-1.0882667	0	5.9604325
"Angola"	"AGO"	-1.1092016	0.3298222		3.5553482	3.4011974	3.49605	3.6112263	3.6929164	3.7170153	3.811206	3.9250114	0	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0	7.1641	1356.99	3.5115674	12.534498		-1.5863429	0.5803815	0.8796268	-1.3862944	2.5257287	0.7477829	1.0	44.34624572755408	0.425228661821526	0.481495	0.01999998	0.98	7.51752		1.3475616	2.3418057	3.7776492	-1.1092016	0	20.419653
"Antigua and Barbuda"	"ATG"	-1.1426333	0.31897795				4.13282	4.202506					0	0	0	1	0	0.0255292	0.0	0.0	0.9712796	0.00319115	0.0							0.15208225	2.9003222		2.8361502			100	0				8.09377		4.8191814	3.6813512		-1.1055597	0	13.315693
"Argentina"	"ARG"	-1.0861584	0.3375106	-1.5837702	4.016383	4.1351666	4.1777	4.1979313	4.2408895	4.2696733	4.3002467	4.3258815	0	0	0	1	0	0.925	0.0	0.0	0.0	0.075	0.0	8.859602	7244.1455	6.6607366	68.790215	2.1754115	2.0202506	0.22713557	2.3184583	-0.9162907	3.5263605	0.72400135	0.0	0	0	0.271642	0.9439142	0.056085855	8.98695	1.7343782	2.0193183	4.298645	3.425399	-1.0525403	0	4.5911674
"Armenia"	"ARM"	-1.1488335	0.31700635			4.1713057	4.18744	4.247415	4.258164	4.2159314	4.2625313	4.301136	0	1	0	0	0	0.32429615	0.32429615	0.3514077	0.0	0.0	0.0	8.988633	8015.481	4.1052976	16.860508		-0.42495933	0.11969587	2.865054	-0.597837	3.6888795	0.7432992	0.0	0	0	0.420939	0.020100474	0.9798995	8.67266	2.0508783	4.1838765	3.9376907	3.6489425	-1.1049696	0	4.863554
"Australia"	"AUS"	-1.0674232	0.34389353	-1.4620098	4.201703	4.2427645	4.2601	4.262941	4.3085637	4.3437357	4.3724074	4.402994	0	0	0	0	1	0.9794239	0.0	0.0	0.0	0.0	0.020576132	8.582729	5681.3315	6.559279	47.70375		0.920452	0.08883654	1.8794651	-1.6607312	3.295837	0.7247675	0.0	14.680003945458534	10.888616350076296	0.35488698	0.96753925	0.032460764	9.46118	2.2295575	0.2991587	4.400603	3.4075983	-1.050965	1	3.533981
"Austria"	"AUT"	-1.0648363	0.3447843	-1.2073117	4.0976725	4.1850986	4.22808	4.246933	4.282533	4.32453	4.357053	4.3868017	1	0	0	0	0	0.99155796	0.004221021	0.004221021	0.0	0.0	0.0	8.7810545	6511.2217	4.981763	24.819952	2.3025851	1.7988685	0.10145145	2.8314471	-0.8915981	3.8572147	0.7366804	0.0	0	0	0.0794891	0.01449275	0.98550725	9.21682	1.3994938	4.448228	4.169761	3.092362	-1.0517367	1	3.4436648
"Azerbaijan"	"AZE"	-1.1344188	0.321609			4.11578	4.10818	4.170296	4.169472	4.1704774	4.201062	4.2557054	0	1	0	0	0	0.06101237	0.006963933	0.9320237	0.0	0.0	0.0	8.9712305	7905.0	4.525599	20.523287		-0.48721895	0.18620732	3.0591764	-0.4942963	3.701302	0.74012524	0.0	0	0	0.696768	0.06999999	0.93	8.35114		3.8426223	3.8649313	3.6471694	-1.1278471	0	9.896091
