ethnicity	region	het	ln_het	ln_atd	md	ln_anim
"Adygei"	"Caucus/Russion/Georgia"	0.31363973	-1.1595103	8.699514	4.15503	2.3025851
"Amerindians "	"Columbia"	0.23165898	-1.4624889	8.131531	22.662779	0.6931472
"Balochi"	"Pakistan"	0.31103814	-1.1678398	9.1049795	5.84206	2.3025851
"Bantu speakers"	"Congo"	0.3298222	-1.1092016	8.006368	4.126315	0.0
"Basque"	"Spain"	0.31869102	-1.1435332	8.881836	6.01226	2.3025851
"Bedouin"	"Jordan"	0.3345718	-1.0949037	9.2591305	2.84495	2.3025851
"Biaka"	"Central African Republic"	0.29812178	-1.2102532	8.006368	2.38486	0.0
"Brahui"	"Pakistan"	0.31375128	-1.1591547	9.1049795	5.84206	2.3025851
"Burusho"	"Pakistan"	0.33376667	-1.0973132	9.1049795	6.4756002	2.3025851
"Cambodians, Khmer"	"Cambodia"	0.2984628	-1.2091099	8.411833	10.26055	2.0794415
"Dai"	"China"	0.27109486	-1.3052865	9.1049795	9.34396	2.0794415
"Daur"	"China"	0.31571922	-1.152902	9.1049795	10.21313	2.0794415
"Druze"	"Israel"	0.3097564	-1.171969	9.2591305	2.88725	2.3025851
"Estonian"	"Estonia"	0.3313382	-1.1046157	8.216088	5.9564	2.3025851
"French"	"France"	0.35331923	-1.0403833	8.922658	5.85748	2.3025851
"Han"	"China"	0.32045513	-1.138013	9.1049795	9.98897	2.0794415
"Hazara"	"Pakistan"	0.3320295	-1.1025314	9.1049795	6.13257	2.3025851
"Hezhe"	"China"	0.31524745	-1.1543974	9.1049795	10.89621	2.0794415
"Italians"	"Italy"	0.33886707	-1.0821474	8.987197	5.24904	2.3025851
"Japanese"	"Japan"	0.3137423	-1.1591833	8.411833	11.762111	2.0794415
"Kalash"	"Pakistan"	0.30818847	-1.1770438	9.1049795	6.25362	2.3025851
"Karitiana"	"Brazil"	0.22980385	-1.4705292	8.160519	24.17734	0.6931472
"Koreans"	"Korea"	0.3182192	-1.1450148	8.411833	11.762111	2.0794415
"Lahu"	"China"	0.29901153	-1.2072731	9.1049795	9.29963	2.0794415
"Mandenka"	"Senegal"	0.28438333	-1.2574322	8.006368	5.46991	0.0
"Maya, Yucatan"	"Mexico"	0.26794487	-1.316974	8.318742	19.82571	0.0
"Mbuti"	"DR Congo"	0.30119488	-1.1999978	8.006368	1.3355	0.0
"Melanesian, Nasioi"	"New Guinea"	0.2096218	-1.5624503	8.294049	16.16851	1.0986123
"Miao"	"China"	0.32147437	-1.1348374	9.1049795	9.87532	2.0794415
"Mongolian"	"Mongolia"	0.31554615	-1.1534504	8.517193	9.869849	2.0794415
"Mozabite"	"Algeria"	0.34386027	-1.0675199	8.294049	4.41817	2.3025851
"Naxi"	"China"	0.2890359	-1.2412044	9.1049795	9.131371	2.0794415
"Orcadian"	"UK/Norway"	0.34058845	-1.0770804	8.517193	6.63669	2.3025851
"Oroqen"	"China"	0.30907822	-1.174161	9.1049795	10.29053	2.0794415
"Palestinian"	"Palestine/Israel"	0.32932052	-1.1107237	9.2591305	2.88725	2.3025851
"Papuan New Guinean"	"New Guinea"	0.2391923	-1.4304874	8.294049	14.843121	1.0986123
"Pashtun"	"India"	0.33031923	-1.1076957	9.047821	6.1787596	2.0794415
"Pima, Mexico"	"Mexico"	0.24633333	-1.4010696	8.318742	18.015789	0.0
"Russians"	"Russia"	0.32165256	-1.1342833	8.517193	5.9564	2.3025851
"San"	"Namibia"	0.26264745	-1.3369427	7.130899	3.8724198	0.0
"Sardinian"	"Italy"	0.3206436	-1.1374251	8.987197	5.30581	2.3025851
"She"	"China"	0.2751423	-1.2904668	9.1049795	10.817809	2.0794415
"Sindhi"	"Pakistan"	0.32300898	-1.1300751	9.1049795	6.2017	2.3025851
"Surui"	"Brazil"	0.2309923	-1.4653709	8.160519	24.17734	0.6931472
"Tu"	"China"	0.3	-1.2039728	9.1049795	8.868139	2.0794415
"Tujia"	"China"	0.30365384	-1.1918669	9.1049795	9.8325	2.0794415
"Uyghur"	"China"	0.32191154	-1.1334785	9.1049795	7.07197	2.0794415
"Xibe"	"China"	0.32032564	-1.1384171	9.1049795	7.11029	2.0794415
"Yakut"	"Russia/Siberia"	0.3150577	-1.1549995	8.517193	9.91911	2.0794415
"Yi"	"China"	0.30629873	-1.1831944	9.1049795	9.32879	2.0794415
"Yoruba"	"Nigeria"	0.31490898	-1.1554717	7.901007	3.6296499	0.0
